title,url
AI Agents in LangGraph,https://learn.deeplearning.ai/courses/ai-agents-in-langgraph/lesson/qyrpc/introduction
AI Fluency: Framework & Foundations,https://anthropic.skilljar.com/ai-fluency-framework-foundations
Agentic AI,https://learn.deeplearning.ai/courses/agentic-ai/lesson/pu5xbv/welcome
Building with the Claude API,https://anthropic.skilljar.com/claude-with-the-anthropic-api
ChatGPT Prompt Engineering for Developers,https://learn.deeplearning.ai/courses/chatgpt-prompt-eng/lesson/zi9lz/guidelines
Claude Code: A Highly Agentic Coding Assistant,https://www.deeplearning.ai/short-courses/claude-code-a-highly-agentic-coding-assistant
Generative AI for Software Development,https://www.deeplearning.ai/courses/generative-ai-for-software-development
MCP: Build Rich-Context AI Apps with Anthropic,https://learn.deeplearning.ai/courses/mcp-build-rich-context-ai-apps-with-anthropic
Machine Learning Specialization,http://www.deeplearning.ai/courses/machine-learning-specialization
Neural Networks: Zero To Hero,https://karpathy.ai/zero-to-hero.html
Pair Programming with a Large Language Model,https://learn.deeplearning.ai/courses/pair-programming-llm/lesson/nsj3s/introduction
Reinforcement Fine-Tuning LLMs with GRPO,http://www.deeplearning.ai/short-courses/reinforcement-fine-tuning-llms-grpo
The Episode Archive,https://journalclub.io/episodes
AI Engineering: Building Applications with Foundation Models,http://www.amazon.com/dp/1098166302
Designing Machine Learning Systems,http://www.oreilly.com/library/view/designing-machine-learning/9781098107956
Grokking Machine Learning - Luis G. Serrano,https://www.manning.com/books/grokking-machine-learning
Hands-On Large Language Models,https://www.oreilly.com/library/view/hands-on-large-language/9781098150952
LLMs in Production: From language models to successful products,http://www.amazon.com/LLMs-Production-language-successful-products/dp/1633437205
courses/prompt_engineering_interactive_tutorial/Anthropic 1P/00_Tutorial_How-To.ipynb at master · anthropics/courses,https://github.com/anthropics/courses/blob/master/prompt_engineering_interactive_tutorial/Anthropic%201P/00_Tutorial_How-To.ipynb
Advanced Prompt Engineering for Everyone,https://www.coursera.org/learn/advanced-prompt-engineering-for-everyone
Agentic AI MOOC,https://agenticai-learning.org/f25
ChatGPT Prompt Engineering for Developers (Short Course),https://www.coursera.org/projects/chatgpt-prompt-engineering-for-developers-project
Computer Science for Artificial Intelligence Professional Certificate,https://www.edx.org/certificates/professional-certificate/harvardx-computer-science-for-artifical-intelligence
Generative AI for Software Developers,https://www.coursera.org/specializations/generative-ai-for-software-developers
Generative AI with Large Language Models,https://www.coursera.org/learn/generative-ai-with-llms
Google AI Essentials,http://www.coursera.org/specializations/ai-essentials-google
Google Prompting Essentials,https://www.coursera.org/specializations/prompting-essentials-google
IBM RAG and Agentic AI: Build Next-Gen AI Assistants,http://www.coursera.org/specializations/ibm-rag-and-agentic-ai
Intro to Generative AI: A Beginner's Primer on Core Concepts,https://www.coursera.org/specializations/introduction-to-generative-ai
Llm Engineering Master Ai And Large Language Models (Udemy Course),http://www.udemy.com/course/llm-engineering-master-ai-and-large-language-models/learn/lecture/46867713?start=0
Machine Learning in Production,https://coursera.org/share/6a038c8496caf6cf863d719c9ff71bb2
"Machine Learning with Scikit-learn, PyTorch & Hugging Face",http://www.coursera.org/specializations/machine-learning-introduction
Retrieval Augmented Generation (RAG),http://www.coursera.org/learn/retrieval-augmented-generation-rag
The Ai Engineer Course Complete Ai Engineer Bootcamp (Udemy Course),https://www.udemy.com/course/the-ai-engineer-course-complete-ai-engineer-bootcamp
The Complete Agentic Ai Engineering Course (Udemy Course),http://www.udemy.com/course/the-complete-agentic-ai-engineering-course
Udemy Course (Shared Link),https://www.udemy.com/share/10bQ953@YZnRl0OLIdY7k-D48DjUX3oKxfKsdJjbjpGCE-KdvxP3RgimiDv_1eQCRqbddGmGbw==
Machine Learning,https://developers.google.com/machine-learning/crash-course
#ai-for-dev-productivity,N/A
3Blue1Brown,http://www.youtube.com/c/3blue1brown
"AI Dev 25: Code, learn, connect.",https://youtube.com/playlist?list=PLkDaE6sCZn6EYD2iP6x7c3zSbJXi0_jZT&si=tT7PkHTzBTMBqP5L
Andrej Karpathy,https://www.youtube.com/andrejkarpathy
Anthropic,https://www.youtube.com/@anthropic-ai
Berkeley RDI Center on Decentralization & AI,http://www.youtube.com/@BerkeleyRDI
Building AI Agents,https://www.youtube.com/playlist?list=PL-Y17yukoyy0SupAJSPQYg_Lvre9Kt9EG
Deep Dive into LLMs like ChatGPT,https://youtu.be/7xTGNNLPyMI?si=dm2ZuxnBymlg99kn
LangChain,https://www.youtube.com/@LangChain
Learn RAG From Scratch – Python AI Tutorial from a LangChain Engineer,http://www.youtube.com/watch?v=sVcwVQRHIc8&t=3566s
Lecture 1,http://www.youtube.com/watch?v=3tDE4hDaYgw&list=PLxf3-FrL8GzTIQpnY_UyzDX6JK0_Kbe_t
Neural networks,http://www.youtube.com/playlist?list=PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi
Theo - t3․gg,https://www.youtube.com/@t3dotgg
